Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Tommy Pham,TB,63,241,29,72,9,2,9,30,6,3,42,50,0,1,3,.299,.408,.465,.873
Kole Calhoun,LAA,66,240,40,55,13,1,14,36,3,1,31,60,0,2,3,.229,.322,.467,.789
J.D. Martinez,BOS,62,240,41,73,14,1,16,39,1,0,29,48,0,2,2,.304,.381,.571,.952
David Peralta,ARI,58,239,33,69,20,2,9,37,0,0,18,59,0,1,3,.289,.345,.502,.847
Steven Duggar,SF,64,239,25,57,11,2,4,28,1,4,14,74,0,3,1,.238,.280,.351,.631
Charlie Blackmon,COL,54,238,48,79,17,6,15,44,2,2,15,45,0,1,5,.332,.382,.643,1.025
Yasiel Puig,CIN,63,238,25,53,7,0,12,35,9,2,13,63,0,2,1,.223,.264,.403,.667
Avisail Garcia,TB,59,238,35,71,11,1,11,31,6,2,17,58,0,0,4,.298,.355,.492,.847
Josh Reddick,HOU,63,237,30,71,9,1,8,25,4,2,16,28,0,6,0,.300,.336,.447,.783
Max Kepler,MIN,62,237,47,63,16,0,17,44,1,4,31,40,0,4,2,.266,.350,.549,.899
Victor Robles,WAS,67,235,38,55,11,1,9,28,9,4,15,66,4,3,10,.234,.304,.404,.708
Christian Yelich,MIL,63,231,56,79,11,2,26,56,16,1,41,48,0,3,4,.342,.444,.745,1.189
Kyle Schwarber,CHC,65,231,36,54,8,1,15,33,1,2,34,75,0,5,1,.234,.328,.472,.800
Kevin Pillar,SF,63,230,29,55,12,0,8,31,8,1,7,38,0,3,3,.239,.267,.396,.663
David Dahl,COL,61,228,43,77,19,4,7,35,2,4,18,62,1,3,3,.338,.389,.548,.937
Jason Heyward,CHC,65,226,33,57,4,2,10,26,4,1,34,43,0,2,1,.252,.350,.420,.770
Brett Gardner,NYY,65,226,41,51,9,4,11,27,6,2,25,37,0,2,2,.226,.306,.447,.753
Dwight Smith,BAL,59,225,31,56,11,2,11,41,4,1,13,50,0,2,3,.249,.296,.462,.758
Juan Soto,WAS,60,225,38,65,13,1,11,41,3,0,34,58,0,1,1,.289,.383,.502,.885
Mike Trout,LAA,67,224,53,63,16,1,18,44,7,1,63,53,0,2,9,.281,.453,.603,1.056
Ryan Braun,MIL,64,224,28,61,9,0,11,37,4,1,15,56,0,0,2,.272,.324,.460,.784
Kevin Kiermaier,TB,63,223,32,57,10,4,8,31,13,3,17,51,1,1,1,.256,.310,.444,.754
Leonys Martin,CLE,61,222,31,46,7,0,9,19,4,5,20,74,3,0,4,.207,.285,.360,.645
Andrew McCutchen,PHI,59,219,45,56,12,1,10,29,2,1,43,55,0,0,0,.256,.378,.457,.835
Michael Conforto,NYM,61,217,38,56,13,0,13,33,5,0,40,62,0,3,6,.258,.383,.498,.881
Franmil Reyes,SD,67,216,30,52,7,0,19,33,0,0,17,66,0,4,0,.241,.291,.537,.828
Jackie Bradley Jr.,BOS,63,208,27,44,13,0,7,23,5,1,25,68,2,1,5,.212,.310,.375,.685
Ian Desmond,COL,64,207,32,55,17,2,9,36,1,1,19,62,0,2,2,.266,.330,.498,.828
Byron Buxton,MIN,65,207,40,55,21,3,9,38,10,3,16,51,2,0,2,.266,.324,.527,.851
Mallex Smith,SEA,53,205,29,45,6,3,4,18,18,1,18,61,0,1,2,.220,.288,.337,.625
Raimel Tapia,COL,65,204,29,52,14,4,5,23,2,2,12,56,0,0,0,.255,.296,.436,.732
Austin Meadows,TB,53,203,33,64,12,2,12,38,8,3,22,52,0,0,3,.315,.390,.571,.961
